KJ_test	// User ID
25-3-2025	// Evaluation date
Kathryn_AFAP_CMJ1	24-3-2025	15:02:56:427	// Source file name and timestamp
238.095	// Sampling rate
3.000	// Data capture period



Sample #	GRF_Y	left_ank_X_pos	left_ank_Y_pos	left_ank_Z_pos	right_ank_X_pos	right_ank_Y_pos	right_ank_Z_pos	left_knee_X_pos	left_knee_Y_pos	left_knee_Z_pos	right_knee_X_pos	right_knee_Y_pos	right_knee_Z_pos	left_hip_X_pos	left_hip_Y_pos	left_hip_Z_pos	right_hip_X_pos	right_hip_Y_pos	right_hip_Z_pos	Height	Mass	
52	567.129027	0.104070	0.090290	-0.437816	0.109407	0.094482	-0.137187	0.154286	0.484558	-0.415601	0.161156	0.479090	-0.182140	0.173184	0.884041	-0.415233	0.183977	0.885309	-0.221750	1.660000	58.340150	
53	567.892934	0.104052	0.090485	-0.437812	0.109249	0.094408	-0.137365	0.154462	0.484681	-0.414836	0.161443	0.478964	-0.182265	0.172903	0.884186	-0.415278	0.183735	0.885219	-0.221797	1.660000	58.340150	
54	568.895660	0.104181	0.090643	-0.437640	0.108868	0.094081	-0.137491	0.154493	0.484772	-0.413339	0.161598	0.478546	-0.182534	0.172945	0.884273	-0.414981	0.183701	0.884867	-0.221494	1.660000	58.340150	
55	569.556010	0.104281	0.090865	-0.437385	0.108461	0.093735	-0.137539	0.154631	0.484937	-0.412216	0.161494	0.478120	-0.182905	0.173349	0.884423	-0.414450	0.183821	0.884516	-0.220946	1.660000	58.340150	
56	570.777914	0.104248	0.091208	-0.437195	0.108212	0.093560	-0.137527	0.154969	0.485239	-0.412132	0.161127	0.477918	-0.183258	0.173952	0.884715	-0.413864	0.184027	0.884371	-0.220338	1.660000	58.340150	
57	566.504162	0.104145	0.091645	-0.437288	0.108268	0.093644	-0.137557	0.155263	0.485661	-0.412805	0.160744	0.478055	-0.183348	0.174181	0.885143	-0.413539	0.184222	0.884513	-0.220013	1.660000	58.340150	
58	568.417826	0.104046	0.092115	-0.437789	0.108719	0.094026	-0.137693	0.155275	0.486150	-0.413843	0.160580	0.478577	-0.183005	0.173553	0.885663	-0.413734	0.184312	0.884967	-0.220249	1.660000	58.340150	
59	568.856813	0.103927	0.092427	-0.438411	0.109337	0.094522	-0.137784	0.155044	0.486502	-0.414871	0.160611	0.479223	-0.182487	0.172422	0.886054	-0.414231	0.184246	0.885519	-0.220807	1.660000	58.340150	
60	568.960642	0.103727	0.092350	-0.438724	0.109776	0.094860	-0.137619	0.154720	0.486458	-0.415485	0.160717	0.479620	-0.182197	0.171454	0.886038	-0.414639	0.183992	0.885866	-0.221256	1.660000	58.340150	
61	567.797107	0.103489	0.091858	-0.438592	0.109906	0.094896	-0.137239	0.154357	0.485997	-0.415613	0.160840	0.479603	-0.182280	0.171009	0.885580	-0.414808	0.183633	0.885868	-0.221431	1.660000	58.340150	
62	567.672283	0.103367	0.091144	-0.438193	0.109831	0.094635	-0.136939	0.153899	0.485349	-0.415599	0.160994	0.479239	-0.182595	0.171115	0.884908	-0.414851	0.183370	0.885555	-0.221453	1.660000	58.340150	
63	568.522121	0.103460	0.090419	-0.437696	0.109659	0.094140	-0.136910	0.153353	0.484737	-0.415683	0.161184	0.478648	-0.182972	0.171718	0.884245	-0.414892	0.183371	0.885010	-0.221458	1.660000	58.340150	
64	568.683318	0.103678	0.089890	-0.437206	0.109493	0.093642	-0.137015	0.152948	0.484313	-0.415648	0.161377	0.478087	-0.183189	0.172570	0.883761	-0.415060	0.183674	0.884451	-0.221593	1.660000	58.340150	
65	569.324801	0.103902	0.089737	-0.436830	0.109420	0.093376	-0.137068	0.152926	0.484187	-0.415213	0.161535	0.477813	-0.183051	0.173381	0.883593	-0.415449	0.184257	0.884104	-0.221968	1.660000	58.340150	
66	568.854089	0.104087	0.089831	-0.436620	0.109425	0.093347	-0.136993	0.153199	0.484246	-0.414561	0.161635	0.477808	-0.182672	0.173818	0.883642	-0.415797	0.184732	0.884007	-0.222318	1.660000	58.340150	
67	568.653405	0.104232	0.089874	-0.436602	0.109434	0.093425	-0.136772	0.153488	0.484249	-0.414173	0.161662	0.477897	-0.182335	0.173527	0.883674	-0.415644	0.184508	0.884093	-0.222169	1.660000	58.340150	
68	568.095431	0.104314	0.089787	-0.436793	0.109405	0.093514	-0.136433	0.153641	0.484142	-0.414201	0.161609	0.477962	-0.182209	0.172615	0.883621	-0.414891	0.183476	0.884274	-0.221409	1.660000	58.340150	
