KJ_test	// User ID
25-3-2025	// Evaluation date
Kathryn_AHAP_CMJ1	24-3-2025	15:04:55:021	// Source file name and timestamp
238.095	// Sampling rate
3.000	// Data capture period



Sample #	GRF_Y	left_ank_X_pos	left_ank_Y_pos	left_ank_Z_pos	right_ank_X_pos	right_ank_Y_pos	right_ank_Z_pos	left_knee_X_pos	left_knee_Y_pos	left_knee_Z_pos	right_knee_X_pos	right_knee_Y_pos	right_knee_Z_pos	left_hip_X_pos	left_hip_Y_pos	left_hip_Z_pos	right_hip_X_pos	right_hip_Y_pos	right_hip_Z_pos	Height	Mass	
43	571.438851	0.118816	0.090004	-0.434134	0.122304	0.088161	-0.156874	0.168428	0.487167	-0.411569	0.174767	0.479436	-0.191143	0.186239	0.878597	-0.405575	0.193733	0.881593	-0.215473	1.660000	58.340150	
44	573.225347	0.118774	0.090124	-0.434034	0.122280	0.088008	-0.157062	0.168369	0.487225	-0.410382	0.174816	0.479355	-0.190404	0.186172	0.878662	-0.404792	0.193736	0.881518	-0.214689	1.660000	58.340150	
45	571.237551	0.118603	0.090147	-0.433983	0.122234	0.088150	-0.157086	0.168204	0.487177	-0.409175	0.174894	0.479528	-0.189826	0.185914	0.878619	-0.403663	0.193474	0.881739	-0.213565	1.660000	58.340150	
46	572.034912	0.118330	0.089689	-0.433996	0.122262	0.088457	-0.156880	0.167717	0.486778	-0.409708	0.174830	0.479832	-0.189777	0.185588	0.878208	-0.403870	0.193478	0.882022	-0.213802	1.660000	58.340150	
47	571.875025	0.118133	0.089190	-0.434030	0.122386	0.088871	-0.156604	0.167165	0.486407	-0.411150	0.174654	0.480248	-0.189955	0.185270	0.877818	-0.404845	0.193728	0.882367	-0.214817	1.660000	58.340150	
48	571.010162	0.118257	0.089480	-0.434021	0.122589	0.089367	-0.156521	0.167038	0.486742	-0.411375	0.174496	0.480806	-0.189735	0.185019	0.878156	-0.404909	0.193929	0.882890	-0.214902	1.660000	58.340150	
49	572.703973	0.118680	0.090690	-0.433885	0.122805	0.089885	-0.156682	0.167470	0.487857	-0.409658	0.174418	0.481440	-0.188992	0.184974	0.879298	-0.403448	0.193889	0.883567	-0.213428	1.660000	58.340150	
50	570.602372	0.119016	0.091996	-0.433495	0.122906	0.090319	-0.156845	0.168101	0.488996	-0.407213	0.174389	0.481960	-0.188289	0.185383	0.880451	-0.401321	0.193569	0.884187	-0.211261	1.660000	58.340150	
51	568.558885	0.118977	0.092681	-0.432795	0.122805	0.090582	-0.156823	0.168598	0.489524	-0.405197	0.174383	0.482219	-0.188110	0.186349	0.880960	-0.399390	0.193029	0.884571	-0.209274	1.660000	58.340150	
52	570.286215	0.118776	0.092818	-0.432060	0.122613	0.090704	-0.156715	0.168857	0.489579	-0.404096	0.174405	0.482286	-0.188374	0.187341	0.880977	-0.398090	0.192684	0.884735	-0.207931	1.660000	58.340150	
