KJ_test	// User ID
25-3-2025	// Evaluation date
ianjump_AFAP_CMJ1	24-3-2025	14:47:43:968	// Source file name and timestamp
238.095	// Sampling rate
3.000	// Data capture period



Sample #	GRF_Y	left_ank_X_pos	left_ank_Y_pos	left_ank_Z_pos	right_ank_X_pos	right_ank_Y_pos	right_ank_Z_pos	left_knee_X_pos	left_knee_Y_pos	left_knee_Z_pos	right_knee_X_pos	right_knee_Y_pos	right_knee_Z_pos	left_hip_X_pos	left_hip_Y_pos	left_hip_Z_pos	right_hip_X_pos	right_hip_Y_pos	right_hip_Z_pos	Height	Mass	
36	876.599487	0.106897	0.109141	-0.478147	0.108860	0.108239	-0.149414	0.175379	0.553134	-0.441142	0.167529	0.551992	-0.192082	0.169074	0.978977	-0.432706	0.181815	0.978047	-0.207482	1.910000	89.660313	
37	874.728933	0.107127	0.109719	-0.478239	0.109173	0.108590	-0.149267	0.175832	0.553622	-0.440566	0.167122	0.552492	-0.191368	0.168400	0.979457	-0.432636	0.181492	0.978519	-0.207431	1.910000	89.660313	
38	871.336925	0.107037	0.109509	-0.478056	0.109214	0.108303	-0.148892	0.176047	0.553365	-0.440415	0.166531	0.552159	-0.192315	0.167654	0.979208	-0.434069	0.181667	0.978138	-0.208923	1.910000	89.660313	
39	870.879798	0.106512	0.108228	-0.477743	0.108897	0.107740	-0.148533	0.175827	0.552095	-0.440827	0.166394	0.551280	-0.194876	0.167026	0.977957	-0.436652	0.182302	0.977227	-0.211590	1.910000	89.660313	
40	871.351851	0.105826	0.106481	-0.477466	0.108363	0.107034	-0.148312	0.175267	0.550425	-0.441714	0.166617	0.550165	-0.197528	0.166647	0.976305	-0.439375	0.183241	0.976079	-0.214404	1.910000	89.660313	
41	871.695520	0.105370	0.105139	-0.477378	0.107823	0.106204	-0.148293	0.174563	0.549224	-0.442903	0.166875	0.549132	-0.198342	0.166628	0.975119	-0.441047	0.184286	0.974976	-0.216154	1.910000	89.660313	
42	873.042129	0.105260	0.104550	-0.477512	0.107414	0.105413	-0.148427	0.173938	0.548799	-0.444143	0.167001	0.548423	-0.197079	0.166976	0.974706	-0.441335	0.185188	0.974165	-0.216486	1.910000	89.660313	
43	871.696821	0.105352	0.104571	-0.477791	0.107210	0.104984	-0.148565	0.173636	0.548934	-0.445131	0.166982	0.548202	-0.195098	0.167607	0.974841	-0.440710	0.185651	0.973859	-0.215851	1.910000	89.660313	
44	871.872244	0.105525	0.105038	-0.478099	0.107261	0.105114	-0.148598	0.173793	0.549415	-0.445602	0.166872	0.548526	-0.193494	0.168393	0.975311	-0.439568	0.185508	0.974165	-0.214639	1.910000	89.660313	
45	873.482351	0.105741	0.105796	-0.478227	0.107578	0.105675	-0.148527	0.174257	0.550108	-0.445364	0.166892	0.549218	-0.192483	0.169094	0.975986	-0.438013	0.184943	0.974914	-0.212989	1.910000	89.660313	
46	872.426866	0.105969	0.106679	-0.477987	0.108136	0.106487	-0.148376	0.174833	0.550876	-0.444301	0.167245	0.550076	-0.192085	0.169474	0.976737	-0.436139	0.184192	0.975890	-0.211036	1.910000	89.660313	
47	872.408048	0.106083	0.107407	-0.477512	0.108675	0.107321	-0.148289	0.175345	0.551463	-0.442809	0.167787	0.550909	-0.192023	0.169449	0.977312	-0.434344	0.183440	0.976847	-0.209194	1.910000	89.660313	
48	874.078594	0.105913	0.107651	-0.477093	0.108825	0.107928	-0.148475	0.175628	0.551567	-0.441520	0.168202	0.551513	-0.191915	0.169011	0.977407	-0.433172	0.182849	0.977529	-0.208013	1.910000	89.660313	
49	874.020031	0.105504	0.107399	-0.476858	0.108512	0.108155	-0.148956	0.175662	0.551202	-0.440745	0.168344	0.551744	-0.191736	0.168310	0.977038	-0.432830	0.182546	0.977781	-0.207697	1.910000	89.660313	
50	875.591853	0.105193	0.107080	-0.476714	0.108070	0.107986	-0.149503	0.175609	0.550824	-0.440371	0.168295	0.551557	-0.191891	0.167703	0.976661	-0.433060	0.182605	0.977585	-0.207970	1.910000	89.660313	
51	876.493245	0.105230	0.107035	-0.476572	0.107776	0.107442	-0.149889	0.175625	0.550788	-0.440312	0.168134	0.550953	-0.192709	0.167509	0.976632	-0.433633	0.183061	0.976968	-0.208587	1.910000	89.660313	
52	876.844404	0.105428	0.107128	-0.476453	0.107563	0.106696	-0.149932	0.175782	0.550927	-0.440681	0.167860	0.550083	-0.194114	0.167838	0.976783	-0.434571	0.183786	0.976078	-0.209553	1.910000	89.660313	
53	876.514524	0.105499	0.107116	-0.476418	0.107290	0.105959	-0.149484	0.176119	0.550954	-0.441645	0.167462	0.549131	-0.195921	0.168716	0.976825	-0.435939	0.184614	0.975094	-0.210922	1.910000	89.660313	
54	877.165745	0.105326	0.106861	-0.476571	0.107016	0.105382	-0.148708	0.176535	0.550720	-0.443286	0.167060	0.548293	-0.197725	0.169795	0.976601	-0.437563	0.185361	0.974215	-0.212528	1.910000	89.660313	
55	877.795100	0.104919	0.106302	-0.477024	0.106945	0.105060	-0.147993	0.176833	0.550180	-0.445593	0.166874	0.547767	-0.198980	0.170447	0.976056	-0.439093	0.185831	0.973651	-0.214047	1.910000	89.660313	
56	877.950484	0.104415	0.105528	-0.477701	0.107130	0.105041	-0.147601	0.176901	0.549442	-0.448199	0.167029	0.547680	-0.199223	0.170371	0.975291	-0.440217	0.185976	0.973532	-0.215182	1.910000	89.660313	
57	877.978231	0.104190	0.104929	-0.478224	0.107311	0.105314	-0.147535	0.176808	0.548911	-0.450062	0.167469	0.548030	-0.198167	0.169932	0.974727	-0.440714	0.186048	0.973836	-0.215708	1.910000	89.660313	
58	877.306340	0.104561	0.104873	-0.478282	0.107250	0.105847	-0.147759	0.176643	0.548953	-0.450241	0.168090	0.548762	-0.195729	0.169558	0.974754	-0.440419	0.186275	0.974489	-0.215453	1.910000	89.660313	
59	874.841508	0.105294	0.105386	-0.478086	0.107054	0.106437	-0.148161	0.176493	0.549543	-0.449038	0.168642	0.549584	-0.192936	0.169542	0.975352	-0.439463	0.186542	0.975234	-0.214518	1.910000	89.660313	
60	878.089494	0.105952	0.106361	-0.478066	0.106952	0.106784	-0.148596	0.176439	0.550508	-0.447219	0.168829	0.550109	-0.191195	0.170110	0.976336	-0.438089	0.186606	0.975746	-0.213113	1.910000	89.660313	
61	878.143607	0.106326	0.107502	-0.478295	0.107043	0.106810	-0.148988	0.176462	0.551551	-0.445329	0.168703	0.550228	-0.190918	0.171026	0.977399	-0.436551	0.186365	0.975937	-0.211499	1.910000	89.660313	
62	877.715014	0.106453	0.108304	-0.478417	0.107298	0.106704	-0.149331	0.176433	0.552248	-0.443713	0.168688	0.550141	-0.191450	0.171555	0.978107	-0.435114	0.185871	0.975963	-0.209994	1.910000	89.660313	
63	878.861394	0.106384	0.108414	-0.478178	0.107650	0.106606	-0.149594	0.176249	0.552312	-0.442663	0.169020	0.549998	-0.192190	0.171233	0.978169	-0.434028	0.185251	0.975934	-0.208887	1.910000	89.660313	
64	879.194553	0.106179	0.107998	-0.477754	0.107945	0.106428	-0.149671	0.175920	0.551913	-0.442209	0.169316	0.549768	-0.192827	0.170469	0.977762	-0.433491	0.184837	0.975773	-0.208372	1.910000	89.660313	
65	878.559170	0.105902	0.107320	-0.477390	0.108032	0.106070	-0.149462	0.175489	0.551296	-0.442313	0.169139	0.549399	-0.193114	0.169822	0.977144	-0.433669	0.184970	0.975395	-0.208603	1.910000	89.660313	
66	878.498153	0.105618	0.106575	-0.477236	0.107949	0.105683	-0.149060	0.175060	0.550643	-0.443044	0.168687	0.549037	-0.192971	0.169619	0.976496	-0.434510	0.185680	0.974950	-0.209505	1.910000	89.660313	
67	877.953787	0.105399	0.105922	-0.477390	0.107839	0.105565	-0.148654	0.174772	0.550101	-0.444535	0.168517	0.548938	-0.192435	0.170058	0.975959	-0.435832	0.186817	0.974718	-0.210874	1.910000	89.660313	
68	878.852633	0.105311	0.105528	-0.477837	0.107805	0.105787	-0.148415	0.174735	0.549804	-0.446446	0.168794	0.549160	-0.191761	0.171079	0.975661	-0.437218	0.188109	0.974801	-0.212278	1.910000	89.660313	
69	877.570146	0.105420	0.105563	-0.478372	0.107879	0.106072	-0.148477	0.175019	0.549862	-0.447678	0.169072	0.549449	-0.191509	0.172223	0.975713	-0.437886	0.189100	0.975011	-0.212935	1.910000	89.660313	
70	877.014887	0.105737	0.106069	-0.478776	0.108054	0.106172	-0.148883	0.175625	0.550278	-0.447425	0.168961	0.549561	-0.192149	0.173024	0.976124	-0.437338	0.189429	0.975162	-0.212353	1.910000	89.660313	
71	878.396014	0.106013	0.106499	-0.478874	0.108189	0.106122	-0.149305	0.176252	0.550593	-0.446700	0.168591	0.549473	-0.193672	0.173131	0.976434	-0.436537	0.189259	0.975169	-0.211532	1.910000	89.660313	
72	880.392868	0.105943	0.106179	-0.478524	0.108118	0.106046	-0.149341	0.176528	0.550257	-0.446933	0.168236	0.549217	-0.195890	0.172266	0.976088	-0.436777	0.188901	0.974991	-0.211812	1.910000	89.660313	
73	878.494257	0.105590	0.105315	-0.477907	0.107956	0.106093	-0.149041	0.176438	0.549457	-0.447841	0.168008	0.549010	-0.198026	0.170849	0.975276	-0.437831	0.188569	0.974825	-0.212948	1.910000	89.660313	
74	879.564000	0.105325	0.104828	-0.477453	0.108045	0.106407	-0.148828	0.176252	0.548985	-0.447758	0.167894	0.549237	-0.198812	0.169872	0.974803	-0.438203	0.188405	0.975066	-0.213381	1.910000	89.660313	
75	882.083510	0.105372	0.105244	-0.477404	0.108530	0.106990	-0.148937	0.176157	0.549301	-0.445923	0.167901	0.550023	-0.197665	0.169962	0.975139	-0.437139	0.188450	0.975848	-0.212311	1.910000	89.660313	
76	879.704478	0.105606	0.106153	-0.477577	0.109087	0.107552	-0.149129	0.176143	0.550070	-0.443664	0.168109	0.550874	-0.195613	0.170853	0.975936	-0.435689	0.188534	0.976686	-0.210799	1.910000	89.660313	
77	883.029280	0.105862	0.107024	-0.477745	0.109365	0.107785	-0.149124	0.176179	0.550864	-0.442424	0.168572	0.551271	-0.193800	0.172151	0.976754	-0.435034	0.188512	0.977067	-0.210047	1.910000	89.660313	
