KJ_test	// User ID
25-3-2025	// Evaluation date
KaiJen_AFAP_CMJ1	24-3-2025	14:55:22:614	// Source file name and timestamp
238.095	// Sampling rate
3.000	// Data capture period



Sample #	GRF_Y	left_ank_X_pos	left_ank_Y_pos	left_ank_Z_pos	right_ank_X_pos	right_ank_Y_pos	right_ank_Z_pos	left_knee_X_pos	left_knee_Y_pos	left_knee_Z_pos	right_knee_X_pos	right_knee_Y_pos	right_knee_Z_pos	left_hip_X_pos	left_hip_Y_pos	left_hip_Z_pos	right_hip_X_pos	right_hip_Y_pos	right_hip_Z_pos	Height	Mass	
35	999.245620	0.106312	0.095811	-0.491049	0.114884	0.094256	-0.149061	0.129189	0.502794	-0.460771	0.123020	0.507487	-0.196395	0.148770	0.864809	-0.452181	0.160095	0.867378	-0.223959	1.810000	102.075672	
36	999.813356	0.106917	0.095509	-0.491234	0.114889	0.094565	-0.149248	0.128952	0.502566	-0.461342	0.123408	0.507808	-0.196413	0.149802	0.864494	-0.452129	0.160783	0.867674	-0.223897	1.810000	102.075672	
37	1001.048068	0.107927	0.095337	-0.491388	0.114892	0.095125	-0.149761	0.128896	0.502463	-0.461675	0.123922	0.508382	-0.196704	0.150912	0.864307	-0.451890	0.161585	0.868258	-0.223656	1.810000	102.075672	
38	1001.003099	0.108808	0.095214	-0.491231	0.115021	0.095736	-0.150143	0.129297	0.502366	-0.461530	0.124518	0.508965	-0.197250	0.151611	0.864186	-0.451523	0.162355	0.868888	-0.223307	1.810000	102.075672	
39	999.103364	0.109100	0.095078	-0.490542	0.115375	0.096208	-0.149979	0.130284	0.502190	-0.460813	0.125126	0.509334	-0.197955	0.151528	0.864084	-0.451149	0.162945	0.869333	-0.222979	1.810000	102.075672	
40	1000.771770	0.108863	0.095050	-0.489808	0.115802	0.096436	-0.149396	0.131202	0.502091	-0.459934	0.125504	0.509443	-0.198392	0.150908	0.864095	-0.451185	0.163190	0.869481	-0.223062	1.810000	102.075672	
41	998.747801	0.108318	0.095296	-0.489775	0.116072	0.096337	-0.148715	0.131188	0.502272	-0.459399	0.125371	0.509304	-0.198064	0.150194	0.864345	-0.452119	0.162940	0.869264	-0.224010	1.810000	102.075672	
42	1001.089911	0.107687	0.095625	-0.490423	0.116147	0.095856	-0.148319	0.130282	0.502580	-0.459581	0.124863	0.508891	-0.197175	0.149597	0.864665	-0.453891	0.162435	0.868650	-0.225769	1.810000	102.075672	
43	1002.051710	0.107184	0.095516	-0.491030	0.116167	0.094962	-0.148646	0.129382	0.502531	-0.460689	0.124509	0.508122	-0.196585	0.149115	0.864608	-0.455925	0.162280	0.867641	-0.227808	1.810000	102.075672	
44	1001.973990	0.106957	0.094797	-0.491165	0.116181	0.093781	-0.149758	0.129072	0.501941	-0.462530	0.124592	0.507045	-0.196806	0.148774	0.864018	-0.457657	0.162765	0.866384	-0.229582	1.810000	102.075672	
45	1001.051767	0.107003	0.094221	-0.491137	0.115983	0.092838	-0.150723	0.128990	0.501474	-0.464008	0.124732	0.506136	-0.197385	0.148688	0.863543	-0.458610	0.163297	0.865395	-0.230568	1.810000	102.075672	
46	1001.532481	0.107266	0.094544	-0.491344	0.115371	0.092662	-0.150593	0.128686	0.501815	-0.464024	0.124502	0.505892	-0.197750	0.148975	0.863848	-0.458387	0.163240	0.865190	-0.230318	1.810000	102.075672	
47	1000.036368	0.107554	0.095464	-0.491688	0.114537	0.093226	-0.149731	0.128240	0.502669	-0.462861	0.124017	0.506349	-0.197754	0.149651	0.864636	-0.457127	0.162761	0.865764	-0.228987	1.810000	102.075672	
48	1000.972899	0.107602	0.096152	-0.491841	0.113870	0.094216	-0.149148	0.127997	0.503260	-0.461477	0.123664	0.507298	-0.197470	0.150677	0.865141	-0.455245	0.162421	0.866853	-0.227038	1.810000	102.075672	
49	1002.788583	0.107364	0.096279	-0.491747	0.113623	0.095284	-0.149228	0.128137	0.503299	-0.460494	0.123613	0.508423	-0.197007	0.151807	0.865099	-0.453291	0.162416	0.868095	-0.225045	1.810000	102.075672	
50	1001.887951	0.107103	0.096215	-0.491657	0.113856	0.096029	-0.149481	0.128609	0.503174	-0.460091	0.123744	0.509257	-0.196520	0.152513	0.864940	-0.452000	0.162438	0.869004	-0.223735	1.810000	102.075672	
51	1002.807847	0.107036	0.096262	-0.491754	0.114538	0.096170	-0.149493	0.129284	0.503197	-0.460388	0.123938	0.509454	-0.196158	0.152367	0.865009	-0.451966	0.162264	0.869215	-0.223695	1.810000	102.075672	
52	1001.365003	0.107091	0.096236	-0.491931	0.115326	0.095909	-0.149412	0.129771	0.503209	-0.461384	0.124181	0.509208	-0.196036	0.151418	0.865114	-0.453150	0.162174	0.868900	-0.224913	1.810000	102.075672	
53	1002.028402	0.107131	0.095867	-0.492017	0.115822	0.095556	-0.149518	0.129665	0.502960	-0.463003	0.124477	0.508844	-0.196254	0.149870	0.864960	-0.455304	0.162532	0.868360	-0.227170	1.810000	102.075672	
54	1001.703371	0.107128	0.095362	-0.491936	0.115938	0.095284	-0.149837	0.129228	0.502586	-0.464471	0.124755	0.508555	-0.196701	0.148388	0.864657	-0.457469	0.163177	0.867869	-0.229459	1.810000	102.075672	
55	1003.272821	0.107132	0.095263	-0.491671	0.115815	0.095161	-0.150191	0.129213	0.502509	-0.464505	0.124879	0.508421	-0.197102	0.147973	0.864614	-0.458170	0.163563	0.867676	-0.230205	1.810000	102.075672	
56	1002.455557	0.107205	0.095770	-0.491227	0.115589	0.095214	-0.150423	0.129840	0.502897	-0.462712	0.124792	0.508480	-0.197219	0.149012	0.864987	-0.456855	0.163408	0.867877	-0.228812	1.810000	102.075672	
