,Person 1,Height (m),1.85,Frequency (Hz),1000
,Fz,Weight (N),845.162,,
,N,,,N*-1,
372,-761.606,,,761.606,
373,-762.154,,,762.154,
374,-762.339,,,762.339,
375,-763.071,,,763.071,
376,-763.627,,,763.627,
377,-764.543,,,764.543,
378,-765.092,,,765.092,
379,-764.73,,,764.73,
380,-765.285,,,765.285,
381,-765.289,,,765.289,
382,-766.205,,,766.205,
383,-766.761,,,766.761,
384,-767.492,,,767.492,
385,-767.496,,,767.496,
386,-768.044,,,768.044,
387,-768.599,,,768.599,
388,-768.603,,,768.603,
389,-768.973,,,768.973,
390,-769.341,,,769.341,
391,-769.711,,,769.711,
392,-771.914,,,771.914,
393,-771.731,,,771.731,
394,-771.366,,,771.366,
395,-772.652,,,772.652,
396,-772.287,,,772.287,
397,-773.213,,,773.213,
398,-773.946,,,773.946,
399,-773.766,,,773.766,
400,-775.419,,,775.419,
401,-775.973,,,775.973,
402,-775.978,,,775.978,
403,-776.348,,,776.348,
404,-777.634,,,777.634,
405,-778.005,,,778.005,
406,-778.196,,,778.196,
407,-779.662,,,779.662,
408,-779.668,,,779.668,
409,-780.77,,,780.77,
410,-781.143,,,781.143,
411,-781.149,,,781.149,
412,-782.253,,,782.253,
413,-782.449,,,782.449,
414,-783.914,,,783.914,
415,-783.92,,,783.92,
416,-785.021,,,785.021,
417,-785.762,,,785.762,
418,-785.409,,,785.409,
419,-787.242,,,787.242,
420,-787.98,,,787.98,
421,-789.082,,,789.082,
422,-789.456,,,789.456,
423,-790.193,,,790.193,
424,-790.381,,,790.381,
425,-791.309,,,791.309,
426,-791.678,,,791.678,
427,-792.054,,,792.054,
428,-793.703,,,793.703,
429,-794.261,,,794.261,
430,-794.818,,,794.818,
431,-795.738,,,795.738,
432,-796.84,,,796.84,
433,-796.665,,,796.665,
434,-798.32,,,798.32,
435,-797.956,,,797.956,
436,-800.16,,,800.16,
437,-799.798,,,799.798,
438,-800.537,,,800.537,
439,-802.19,,,802.19,
440,-803.473,,,803.473,
441,-803.481,,,803.481,
442,-804.034,,,804.034,
443,-805.502,,,805.502,
444,-805.504,,,805.504,
445,-806.794,,,806.794,
446,-807.897,,,807.897,
447,-807.904,,,807.904,
448,-809.001,,,809.001,
449,-810.112,,,810.112,
450,-810.66,,,810.66,
451,-811.585,,,811.585,
452,-811.773,,,811.773,
453,-813.241,,,813.241,
454,-813.796,,,813.796,
455,-814.169,,,814.169,
456,-814.904,,,814.904,
457,-816.193,,,816.193,
458,-817.48,,,817.48,
459,-817.667,,,817.667,
460,-818.591,,,818.591,
461,-819.511,,,819.511,
462,-820.62,,,820.62,
463,-821.539,,,821.539,
464,-822.641,,,822.641,
465,-823.38,,,823.38,
466,-823.388,,,823.388,
467,-825.043,,,825.043,
468,-825.409,,,825.409,
469,-826.512,,,826.512,
470,-826.886,,,826.886,
471,-827.987,,,827.987,
472,-828.544,,,828.544,
473,-828.919,,,828.919,
474,-829.833,,,829.833,
475,-829.841,,,829.841,
476,-830.762,,,830.762,
477,-831.498,,,831.498,
478,-831.685,,,831.685,
479,-832.419,,,832.419,
480,-832.605,,,832.605,
481,-832.795,,,832.795,
482,-833.345,,,833.345,
483,-834.263,,,834.263,
484,-834.267,,,834.267,
485,-835.004,,,835.004,
486,-835.009,,,835.009,
487,-835.559,,,835.559,
488,-835.75,,,835.75,
489,-835.933,,,835.933,
490,-836.67,,,836.67,
491,-836.677,,,836.677,
492,-836.861,,,836.861,
493,-837.597,,,837.597,
494,-837.786,,,837.786,
495,-837.417,,,837.417,
496,-837.609,,,837.609,
497,-837.609,,,837.609,
498,-837.061,,,837.061,
499,-837.615,,,837.615,
500,-837.251,,,837.251,
501,-837.072,,,837.072,
502,-836.707,,,836.707,
503,-836.343,,,836.343,
504,-835.611,,,835.611,
505,-835.798,,,835.798,
506,-835.246,,,835.246,
507,-834.697,,,834.697,
508,-834.331,,,834.331,
509,-833.964,,,833.964,
510,-833.779,,,833.779,
511,-833.048,,,833.048,
512,-831.762,,,831.762,
513,-831.209,,,831.209,
514,-830.846,,,830.846,
515,-829.376,,,829.376,
516,-829.376,,,829.376,
517,-828.455,,,828.455,
518,-827.904,,,827.904,
519,-826.438,,,826.438,
520,-826.432,,,826.432,
521,-824.782,,,824.782,
522,-824.231,,,824.231,
523,-823.124,,,823.124,
524,-822.575,,,822.575,
525,-821.105,,,821.105,
526,-819.819,,,819.819,
527,-819.082,,,819.082,
528,-817.978,,,817.978,
529,-817.242,,,817.242,
530,-816.136,,,816.136,
531,-815.585,,,815.585,
532,-813.748,,,813.748,
533,-811.92,,,811.92,
534,-811.355,,,811.355,
535,-809.705,,,809.705,
536,-808.784,,,808.784,
537,-806.947,,,806.947,
538,-805.479,,,805.479,
539,-804.924,,,804.924,
540,-803.635,,,803.635,
541,-802.165,,,802.165,
542,-801.245,,,801.245,
543,-799.776,,,799.776,
544,-798.304,,,798.304,
545,-797.205,,,797.205,
546,-796.096,,,796.096,
547,-794.99,,,794.99,
548,-794.074,,,794.074,
549,-793.149,,,793.149,
550,-791.679,,,791.679,
551,-790.393,,,790.393,
552,-788.925,,,788.925,
553,-788.009,,,788.009,
554,-788.547,,,788.547,
555,-789.282,,,789.282,
556,-790.929,,,790.929,
557,-793.306,,,793.306,
558,-792.392,,,792.392,
559,-792.209,,,792.209,
560,-791.837,,,791.837,
561,-791.47,,,791.47,
562,-791.658,,,791.658,
563,-793.117,,,793.117,
564,-793.297,,,793.297,
565,-794.215,,,794.215,
566,-794.952,,,794.952,
567,-795.502,,,795.502,
568,-796.231,,,796.231,
569,-796.41,,,796.41,
570,-797.875,,,797.875,
571,-798.971,,,798.971,
572,-800.247,,,800.247,
573,-800.979,,,800.979,
574,-801.52,,,801.52,
575,-801.509,,,801.509,
576,-802.963,,,802.963,
577,-806.068,,,806.068,
578,-809.354,,,809.354,
579,-811.901,,,811.901,
580,-815.914,,,815.914,
581,-819,,,819,
582,-823.383,,,823.383,
583,-826.108,,,826.108,
584,-829.015,,,829.015,
585,-831.371,,,831.371,
586,-835.374,,,835.374,
587,-839.919,,,839.919,
588,-844.103,,,844.103,
589,-848.662,,,848.662,
590,-851.213,,,851.213,
591,-852.476,,,852.476,
592,-854.107,,,854.107,
593,-854.824,,,854.824,
594,-856.093,,,856.093,
595,-858.091,,,858.091,
596,-858.815,,,858.815,
597,-859.355,,,859.355,
598,-859.158,,,859.158,
599,-858.785,,,858.785,
600,-858.404,,,858.404,
601,-858.566,,,858.566,
602,-859.087,,,859.087,
603,-859.793,,,859.793,
604,-859.213,,,859.213,
605,-858.641,,,858.641,
606,-857.329,,,857.329,
607,-856.932,,,856.932,
608,-856.528,,,856.528,
609,-857.588,,,857.588,
610,-857.556,,,857.556,
611,-857.523,,,857.523,
612,-856.389,,,856.389,
613,-856.177,,,856.177,
614,-855.043,,,855.043,
615,-856.298,,,856.298,
616,-856.272,,,856.272,
617,-856.252,,,856.252,
618,-855.314,,,855.314,
619,-854.386,,,854.386,
620,-853.636,,,853.636,
621,-853.259,,,853.259,
622,-852.888,,,852.888,
623,-854.344,,,854.344,
624,-852.315,,,852.315,
625,-851.394,,,851.394,
626,-850.835,,,850.835,
627,-849.734,,,849.734,
628,-849.905,,,849.905,
629,-849.344,,,849.344,
630,-849.146,,,849.146,
631,-849.14,,,849.14,
632,-848.21,,,848.21,
633,-847.285,,,847.285,
634,-846.542,,,846.542,
635,-845.979,,,845.979,
636,-847.057,,,847.057,
637,-845.943,,,845.943,
638,-844.651,,,844.651,
639,-843.722,,,843.722,
640,-843.161,,,843.161,
641,-841.496,,,841.496,
642,-840.374,,,840.374,
643,-839.997,,,839.997,
644,-839.067,,,839.067,
645,-838.133,,,838.133,
646,-836.834,,,836.834,
647,-835.167,,,835.167,
648,-835.512,,,835.512,
649,-834.03,,,834.03,
650,-832.91,,,832.91,
651,-832.887,,,832.887,
652,-831.398,,,831.398,
653,-830.828,,,830.828,
654,-829.525,,,829.525,
655,-828.589,,,828.589,
656,-828.205,,,828.205,
657,-827.632,,,827.632,
658,-826.88,,,826.88,
659,-825.759,,,825.759,
660,-824.453,,,824.453,
661,-823.337,,,823.337,
662,-823.136,,,823.136,
663,-822.934,,,822.934,
664,-822.001,,,822.001,
665,-820.701,,,820.701,
666,-819.583,,,819.583,
667,-819.202,,,819.202,
668,-818.636,,,818.636,
669,-817.883,,,817.883,
670,-817.683,,,817.683,
671,-816.563,,,816.563,
672,-815.819,,,815.819,
673,-814.337,,,814.337,
674,-813.767,,,813.767,
675,-813.014,,,813.014,
676,-812.81,,,812.81,
677,-811.511,,,811.511,
678,-811.122,,,811.122,
679,-811.287,,,811.287,
680,-809.435,,,809.435,
681,-807.949,,,807.949,
682,-808.11,,,808.11,
683,-808.089,,,808.089,
684,-807.517,,,807.517,
685,-806.394,,,806.394,
686,-806.185,,,806.185,
687,-805.251,,,805.251,
688,-805.046,,,805.046,
689,-804.289,,,804.289,
690,-804.087,,,804.087,
691,-803.149,,,803.149,
692,-803.487,,,803.487,
693,-803.653,,,803.653,
694,-803.265,,,803.265,
695,-802.509,,,802.509,
696,-802.306,,,802.306,
697,-802.649,,,802.649,
698,-802.268,,,802.268,
699,-802.424,,,802.424,
700,-802.407,,,802.407,
701,-802.756,,,802.756,
702,-802.918,,,802.918,
703,-803.084,,,803.084,
704,-803.617,,,803.617,
705,-803.777,,,803.777,
706,-804.49,,,804.49,
707,-804.106,,,804.106,
708,-804.273,,,804.273,
709,-804.623,,,804.623,
710,-804.791,,,804.791,
711,-805.688,,,805.688,
712,-805.491,,,805.491,
713,-806.387,,,806.387,
714,-806.01,,,806.01,
715,-806.908,,,806.908,
716,-807.26,,,807.26,
717,-807.793,,,807.793,
718,-809.059,,,809.059,
719,-809.043,,,809.043,
720,-809.945,,,809.945,
721,-809.929,,,809.929,
722,-810.647,,,810.647,
723,-811.54,,,811.54,
724,-812.44,,,812.44,
725,-812.425,,,812.425,
726,-812.962,,,812.962,
727,-814.593,,,814.593,
728,-814.94,,,814.94,
729,-814.925,,,814.925,
730,-816.375,,,816.375,
731,-817.092,,,817.092,
732,-817.62,,,817.62,
733,-818.702,,,818.702,
734,-818.689,,,818.689,
735,-819.219,,,819.219,
736,-820.668,,,820.668,
737,-821.566,,,821.566,
738,-821.913,,,821.913,
739,-822.263,,,822.263,
740,-823.711,,,823.711,
741,-823.51,,,823.51,
742,-824.229,,,824.229,
743,-824.758,,,824.758,
744,-825.84,,,825.84,
745,-826.559,,,826.559,
746,-827.09,,,827.09,
747,-827.624,,,827.624,
748,-828.338,,,828.338,
749,-828.691,,,828.691,
750,-829.223,,,829.223,
751,-829.756,,,829.756,
752,-830.289,,,830.289,
753,-830.82,,,830.82,
754,-831.539,,,831.539,
755,-831.706,,,831.706,
756,-832.421,,,832.421,
757,-832.586,,,832.586,
758,-833.666,,,833.666,
759,-833.282,,,833.282,
760,-834.364,,,834.364,
761,-834.715,,,834.715,
762,-835.425,,,835.425,
763,-835.225,,,835.225,
764,-835.938,,,835.938,
765,-835.923,,,835.923,
766,-837.184,,,837.184,
767,-836.798,,,836.798,
768,-837.326,,,837.326,
769,-837.31,,,837.31,
770,-838.389,,,838.389,
771,-838.19,,,838.19,
772,-839.27,,,839.27,
773,-839.802,,,839.802,
774,-840.511,,,840.511,
775,-840.495,,,840.495,
776,-842.305,,,842.305,
777,-842.287,,,842.287,
778,-843.55,,,843.55,
779,-843.533,,,843.533,
780,-844.244,,,844.244,
781,-844.589,,,844.589,
782,-846.032,,,846.032,
783,-846.743,,,846.743,
784,-846.907,,,846.907,
785,-848.164,,,848.164,
786,-848.689,,,848.689,
787,-849.765,,,849.765,
788,-850.292,,,850.292,
789,-850.451,,,850.451,
790,-850.971,,,850.971,
791,-851.493,,,851.493,
792,-852.019,,,852.019,
793,-851.996,,,851.996,
794,-852.332,,,852.332,
795,-852.857,,,852.857,
796,-853.376,,,853.376,
797,-853.716,,,853.716,
798,-853.325,,,853.325,
799,-853.293,,,853.293,
800,-853.999,,,853.999,
801,-854.341,,,854.341,
802,-854.491,,,854.491,
803,-854.646,,,854.646,
804,-854.07,,,854.07,
805,-854.226,,,854.226,
806,-854.014,,,854.014,
807,-853.98,,,853.98,
808,-854.319,,,854.319,
809,-854.474,,,854.474,
810,-854.079,,,854.079,
811,-854.228,,,854.228,
812,-853.835,,,853.835,
813,-854.352,,,854.352,
814,-853.405,,,853.405,
815,-854.477,,,854.477,
816,-854.262,,,854.262,
817,-854.23,,,854.23,
818,-854.207,,,854.207,
819,-853.809,,,853.809,
820,-854.149,,,854.149,
821,-854.303,,,854.303,
822,-853.912,,,853.912,
823,-853.882,,,853.882,
824,-853.671,,,853.671,
825,-853.457,,,853.457,
826,-853.985,,,853.985,
827,-853.039,,,853.039,
828,-853.564,,,853.564,
829,-853.539,,,853.539,
830,-853.51,,,853.51,
831,-853.298,,,853.298,
832,-853.09,,,853.09,
833,-852.332,,,852.332,
834,-853.042,,,853.042,
835,-852.833,,,852.833,
836,-852.991,,,852.991,
837,-852.419,,,852.419,
838,-852.394,,,852.394,
839,-852.187,,,852.187,
840,-852.34,,,852.34,
841,-852.32,,,852.32,
842,-851.748,,,851.748,
843,-852.273,,,852.273,
844,-850.973,,,850.973,
845,-852.045,,,852.045,
846,-851.836,,,851.836,
847,-850.9,,,850.9,
848,-851.791,,,851.791,
849,-851.402,,,851.402,
850,-850.833,,,850.833,
851,-851.356,,,851.356,
852,-851.886,,,851.886,
853,-851.312,,,851.312,
854,-852.025,,,852.025,
855,-850.907,,,850.907,
856,-851.066,,,851.066,
857,-851.961,,,851.961,
858,-851.392,,,851.392,
859,-852.105,,,852.105,
860,-851.536,,,851.536,
861,-851.699,,,851.699,
862,-852.046,,,852.046,
863,-852.209,,,852.209,
864,-852.371,,,852.371,
865,-852.173,,,852.173,
866,-852.704,,,852.704,
867,-852.686,,,852.686,
868,-852.854,,,852.854,
869,-852.655,,,852.655,
870,-853.184,,,853.184,
871,-853.354,,,853.354,
872,-853.151,,,853.151,
873,-853.688,,,853.688,
874,-853.121,,,853.121,
875,-853.836,,,853.836,
876,-854.004,,,854.004,
877,-854.357,,,854.357,
878,-854.156,,,854.156,
879,-854.698,,,854.698,
880,-854.866,,,854.866,
881,-855.22,,,855.22,
882,-854.844,,,854.844,
883,-855.007,,,855.007,
884,-855.73,,,855.73,
885,-855.17,,,855.17,
886,-855.524,,,855.524,
887,-855.144,,,855.144,
888,-856.051,,,856.051,
889,-855.855,,,855.855,
890,-856.219,,,856.219,
891,-856.202,,,856.202,
892,-856.011,,,856.011,
893,-856.551,,,856.551,
894,-856.73,,,856.73,
